id,name,vintage,price,JS,url,malbec,brunello
86933,"Casanova di Neri Brunello di Montalcino Tenuta Nuova",2001,209.97,97,https://www.wine.com/product/casanova-di-neri-brunello-di-montalcino-tenuta-nuova-2001/86933,0,1
90346,"Frescobaldi Castelgiocondo Brunello di Montalcino Riserva",2004,93.97,94,https://www.wine.com/product/frescobaldi-castelgiocondo-brunello-di-montalcino-riserva-2004/90346,0,1
98385,"Altesino Brunello di Montalcino",2004,49.99,92,https://www.wine.com/product/altesino-brunello-di-montalcino-2004/98385,0,1
98526,"Argiano Brunello di Montalcino",2004,69.97,96,https://www.wine.com/product/argiano-brunello-di-montalcino-2004/98526,0,1
98667,"Casanova di Neri Brunello di Montalcino Tenuta Nuova",2004,119.97,96,https://www.wine.com/product/casanova-di-neri-brunello-di-montalcino-tenuta-nuova-2004/98667,0,1
99588,"Tenute Silvio Nardi Brunello di Montalcino",2004,74.99,92,https://www.wine.com/product/tenute-silvio-nardi-brunello-di-montalcino-2004/99588,0,1
99731,"Banfi Brunello di Montalcino",2004,69.97,93,https://www.wine.com/product/banfi-brunello-di-montalcino-2004/99731,0,1
99788,"Casanova di Neri Brunello di Montalcino Cerretalto",2004,249,98,https://www.wine.com/product/casanova-di-neri-brunello-di-montalcino-cerretalto-2004/99788,0,1
101977,"Uccelliera Brunello di Montalcino",2004,109.99,96,https://www.wine.com/product/uccelliera-brunello-di-montalcino-2004/101977,0,1
103309,"Fuligni Brunello di Montalcino",2004,79.99,96,https://www.wine.com/product/fuligni-brunello-di-montalcino-2004/103309,0,1
104039,"Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label)",2005,99.97,93,https://www.wine.com/product/casanova-di-neri-brunello-di-montalcino-tenuta-nuova-scuffed-label-2005/104039,0,1
104519,"Vitanza Brunello di Montalcino",2004,62.99,94,https://www.wine.com/product/vitanza-brunello-di-montalcino-2004/104519,0,1
104857,"Fuligni Brunello di Montalcino",2005,78.99,92,https://www.wine.com/product/fuligni-brunello-di-montalcino-2005/104857,0,1
105791,"Valdicava Brunello Riserva Madonna del Piano (scuffed label)",2001,659,100,https://www.wine.com/product/valdicava-brunello-riserva-madonna-del-piano-scuffed-label-2001/105791,0,1
107799,"Antinori Pian Delle Vigne Brunello Di Montalcino",2005,72.99,90,https://www.wine.com/product/antinori-pian-delle-vigne-brunello-di-montalcino-2005/107799,0,1
107861,"Valdicava Brunello di Montalcino",2004,129.97,95,https://www.wine.com/product/valdicava-brunello-di-montalcino-2004/107861,0,1
108028,"Valdicava Brunello di Montalcino",2006,129.97,97,https://www.wine.com/product/valdicava-brunello-di-montalcino-2006/108028,0,1
108217,"Capanna Brunello di Montalcino",2006,44.97,95,https://www.wine.com/product/capanna-brunello-di-montalcino-2006/108217,0,1
108218,"Casanova di Neri Brunello di Montalcino White Label",2006,49.99,92,https://www.wine.com/product/casanova-di-neri-brunello-di-montalcino-white-label-2006/108218,0,1
108219,"Casanova di Neri Brunello di Montalcino Tenuta Nuova (scuffed label)",2006,149.97,100,https://www.wine.com/product/casanova-di-neri-brunello-di-montalcino-tenuta-nuova-scuffed-label-2006/108219,0,1
